"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"26","TC0100007283.hg.1","ZBTB40","9923","zinc finger and BTB domain containing 40",-0.433424865288609,7.20073981208093,-2.29966811362513,0.0343671846045397,0.159507814717663,-4.39842579396744
"27","TC0100007290.hg.1","C1QA","712","complement C1q A chain",-0.0303279320005494,10.9813231460145,-0.0923459653502609,0.927499358078152,0.977959714686547,-6.79841838585271
"28","TC0100007291.hg.1","C1QC","714","complement C1q C chain",-0.0423282252703512,12.0369258779486,-0.13795580818014,0.891891217334129,0.966936199535736,-6.79293009114182
"29","TC0100007292.hg.1","C1QB","713","complement C1q B chain",-0.124613021468619,11.0691501522377,-0.342442396471104,0.736202459599159,0.908711552839333,-6.74176769185851
"30","TC0100007295.hg.1","EPHB2","2048","EPH receptor B2",-0.0366077396388285,6.77113988908937,-0.125230603171262,0.901805467432856,0.970653886401326,-6.79467960616995
"31","TC0100007333.hg.1","PITHD1","57095","PITH domain containing 1",-0.50692516220372,8.36224505071393,-3.08707464664895,0.00666841305217513,0.0542848668851937,-2.85636110887981
"32","TC0100007365.hg.1","NIPAL3","57185","NIPA like domain containing 3",-0.158293036634667,4.55751450788765,-0.67126850180896,0.511040676116223,0.786147077217423,-6.57034367718586
"33","TC0100007370.hg.1","RCAN3","11123","RCAN family member 3",0.295828932269431,5.70871703882759,1.10050292473064,0.286405585068217,0.59408737592199,-6.19130006106285
"34","TC0100007406.hg.1","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",-0.497022639798027,5.85868553035572,-2.89646515198915,0.01001380011221,0.0719130575500102,-3.24493669213911
"35","TC0100007412.hg.1","MAN1C1","57134","mannosidase alpha class 1C member 1",0.0951208734460991,7.30832671155366,0.165845541099917,0.870228839425269,0.960881998621656,-6.7885055186921
"36","TC0100007439.hg.1","PDIK1L","149420","PDLIM1 interacting kinase 1 like",-0.620291541863787,4.77452459642053,-2.41314236769297,0.0273491641726986,0.138876957158986,-4.18831421474926
"37","TC0100007447.hg.1","CEP85","64793","centrosomal protein 85",-1.01283705785007,5.07242828427495,-3.0600780703899,0.00706549452819583,0.0565239562255667,-2.91183349910949
"38","TC0100007451.hg.1","CD52","1043","CD52 molecule",-0.0723058394160851,9.98302890305866,-0.14060475293235,0.889829672715187,0.966936199535736,-6.7925446754968
"39","TC0100007458.hg.1","DHDDS","79947","dehydrodolichyl diphosphate synthase subunit",-0.516587538256969,8.21750526396798,-3.25273771597677,0.00466905351959191,0.0424059919661759,-2.51326881813033
"40","TC0100007469.hg.1","RPS6KA1","6195","ribosomal protein S6 kinase A1",0.0291262422386147,8.11086489669115,0.164564978558226,0.871221289308167,0.961647455249452,-6.78872641492894
"41","TC0100007529.hg.1","FAM76A","199870","family with sequence similarity 76 member A",-0.36945644684615,5.95620267833412,-2.0561397376158,0.0554073684126027,0.214050817754108,-4.83074381313305
"42","TC0100007552.hg.1","SESN2","83667","sestrin 2",0.284945781677677,8.03567735919514,1.65574679123954,0.116057547317536,0.342406725589063,-5.47475003300036
"43","TC0100007556.hg.1","PHACTR4","65979","phosphatase and actin regulator 4",0.737748196669116,8.02914494406422,2.85992227401968,0.0108197873334752,0.0763010522156795,-3.31853868191952
"44","TC0100007564.hg.1","RAB42","115273","RAB42, member RAS oncogene family",-0.538297045703387,5.59185915808072,-1.71478549530095,0.104498342063294,0.322455136283398,-5.38573139297694
"45","TC0100007574.hg.1","EPB41","2035","erythrocyte membrane protein band 4.1",-0.596142791309717,7.26683765990963,-3.34167330769863,0.00385259484687284,0.0370033794949683,-2.32742235880328
"46","TC0100007638.hg.1","SERINC2","347735","serine incorporator 2",-0.377317858723728,5.86372077092151,-0.704438578043545,0.490668890595802,0.774770687955347,-6.54713388504617
"47","TC0100007725.hg.1","ZSCAN20","7579","zinc finger and SCAN domain containing 20",-0.613170347260432,4.55106487482892,-2.7011891090168,0.0151079475295919,0.0939329032980801,-3.63436480788136
"48","TC0100007786.hg.1","AGO1","26523","argonaute RISC component 1",-0.405239229331658,7.66465885817996,-2.30118266341948,0.0342633502404603,0.159395003733197,-4.39565532084224
"49","TC0100007790.hg.1","TEKT2","27285","tektin 2",-0.542843188966136,3.26596330650117,-1.98762156560555,0.0631554681892568,0.232678085242773,-4.94727137452085
"50","TC0100007936.hg.1","MFSD2A","84879","major facilitator superfamily domain containing 2A",0.536552655789748,10.503688532904,2.56754284459492,0.0199411488495213,0.110752279941226,-3.89476225957942
"51","TC0100007958.hg.1","ZFP69B","65243","ZFP69 zinc finger protein B",-0.500099118899146,3.96503869588031,-1.48980843325976,0.154537494396136,0.414767477306687,-5.71263369923257
"52","TC0100007980.hg.1","CTPS1","1503","CTP synthase 1",-0.451783854357006,6.7361823388876,-2.07533248885035,0.0533971915918978,0.208546198527547,-4.79767838534269
"53","TC0100008033.hg.1","ERMAP","114625","erythroblast membrane associated protein (Scianna blood group)",-0.35009019293847,5.92319099412743,-1.75013539125671,0.0980647105402788,0.30921425406574,-5.33138376990206
"54","TC0100008034.hg.1","ZNF691","51058","zinc finger protein 691",-0.678992378908448,5.70999262369943,-3.62045844104689,0.00210398801643444,0.0252478561972133,-1.73931692794258
"55","TC0100008057.hg.1","CDC20","991","cell division cycle 20",-0.346567860052495,5.18793518617705,-1.47350230756702,0.158834985482861,0.419933591756058,-5.73498467880549
"56","TC0100008079.hg.1","IPO13","9670","importin 13",-0.576157751430895,6.59064532081857,-3.06920409396145,0.00692874509416643,0.0558367447601509,-2.89309635664265
"57","TC0100008090.hg.1","DMAP1","55929","DNA methyltransferase 1 associated protein 1",-0.0865263360943338,5.9123030801698,-0.316375322691876,0.755557429054208,0.916478769877719,-6.75069050343188
"58","TC0100008101.hg.1","KIF2C","11004","kinesin family member 2C",-0.352756193039217,4.51546020053563,-1.59420338901841,0.12925529403541,0.368664114514789,-5.56514462617832
"59","TC0100008126.hg.1","AKR1A1","10327","aldo-keto reductase family 1 member A1",-0.0564706145197587,8.19208965966241,-0.299820739151725,0.767937687735849,0.920223621089029,-6.75599485183569
"60","TC0100008127.hg.1","NASP","4678","nuclear autoantigenic sperm protein",-0.156309285305587,7.96292419754495,-0.887481418749194,0.387165718289168,0.697144993285703,-6.40035114505778
"61","TC0100008145.hg.1","TSPAN1","10103","tetraspanin 1",0.196046617485564,4.08635725199091,0.699599380037287,0.493611034825719,0.776933715552701,-6.55058583038473
"62","TC0100008158.hg.1","FAAH","2166","fatty acid amide hydrolase",-0.115060323263433,4.34215978725589,-0.589165914666772,0.563474256758802,0.821016910131101,-6.62320662077201
"63","TC0100008260.hg.1","CDKN2C","1031","cyclin dependent kinase inhibitor 2C",-0.168800407062244,5.2550207772756,-0.766663730719387,0.45376485899182,0.747090415481613,-6.50075811878257
"64","TC0100008332.hg.1","ZYG11B","79699","zyg-11 family member B, cell cycle regulator",-0.390625816716557,7.33308859364127,-2.158157096628,0.0454623729562181,0.191093691712919,-4.65294246613996
"65","TC0100008341.hg.1","PODN","127435","podocan",0.376399944436556,4.87134608121712,1.1890650551439,0.250708358477224,0.546485231278353,-6.09293583518389
"66","TC0100008366.hg.1","DIO1","1733","iodothyronine deiodinase 1",-0.319367462908605,3.31021193129883,-1.28624577980129,0.215547184640423,0.499256538050163,-5.97765192964126
"67","TC0100008496.hg.1","FGGY","55277","FGGY carbohydrate kinase domain containing",0.0627593136784164,5.17959187450841,0.180669924757042,0.858756422225877,0.956565093423716,-6.78582411999419
"68","TC0100008517.hg.1","NFIA","4774","nuclear factor I A",-0.157949652816181,6.25456282677794,-0.376567471318521,0.711139459674279,0.896082148316447,-6.72903504130984
"69","TC0100008564.hg.1","ATG4C","84938","autophagy related 4C cysteine peptidase",-0.118220954746001,5.29096138114965,-0.442967907480003,0.663356819436104,0.874592387108987,-6.70086156148804
"70","TC0100008584.hg.1","ALG6","29929","ALG6 alpha-1,3-glucosyltransferase",-0.457968693221507,3.72532903746128,-1.73560247568779,0.100666801434642,0.313787768671105,-5.35382038704272
"71","TC0100008591.hg.1","PGM1","5236","phosphoglucomutase 1",-0.178546352342424,6.23331314636819,-0.858295523646636,0.402632279352702,0.709122706449321,-6.42584148072217
"72","TC0100008602.hg.1","CACHD1","57685","cache domain containing 1",0.903318822188681,3.57239645800835,2.75977444316015,0.0133630263937583,0.0865691757155535,-3.51857227388244
"73","TC0100008618.hg.1","AK4","205","adenylate kinase 4",-0.163441613485768,6.96570143454163,-0.455291224610032,0.654643102059351,0.869852796540136,-6.69514156488713
"74","TC0100008620.hg.1","DNAJC6","9829","DnaJ heat shock protein family (Hsp40) member C6",0.702060294161845,4.94558412083781,2.41737443763222,0.0271154196216278,0.138172303286446,-4.18038165674405
"75","TC0100008625.hg.1","PDE4B","5142","phosphodiesterase 4B",0.70553570909501,8.93458410966636,2.282990887205,0.0355300531878257,0.163588606567854,-4.42886953349952
"76","TC0100008637.hg.1","TCTEX1D1","200132","Tctex1 domain containing 1",0.0940288891334662,4.45069389592564,0.163390967906357,0.872131354613777,0.961647455249452,-6.78892743138088
"77","TC0100008653.hg.1","IL12RB2","3595","interleukin 12 receptor subunit beta 2",0.0718044578673593,4.44975658290912,0.150885355673344,0.881836604937988,0.964047003557414,-6.79097961496822
"78","TC0100008664.hg.1","GADD45A","1647","growth arrest and DNA damage inducible alpha",1.08082621650029,8.94641739729009,3.70037323578263,0.00176842407198735,0.0227172052843432,-1.56960976226731
"79","TC0100008697.hg.1","CTH","1491","cystathionine gamma-lyase",0.107867658544185,3.83249521853695,0.399450126776151,0.694519948703719,0.887942700081597,-6.71983165522066
"80","TC0100008779.hg.1","ST6GALNAC3","256435","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",-0.340784597255772,4.53556805167562,-1.47869237338648,0.157456566212822,0.418278413540706,-5.72789112735549
"81","TC0100008807.hg.1","NEXN","91624","nexilin F-actin binding protein",2.66236325196625,5.12480143672603,5.41864278112069,4.55910436149442e-05,0.00182049753469329,2.04933472461544
"82","TC0100008815.hg.1","IFI44L","10964","interferon induced protein 44 like",1.16938994486166,8.84727061686784,4.1469981416095,0.00067057976079907,0.0120437017333887,-0.617364643867583
"83","TC0100008816.hg.1","IFI44","10561","interferon induced protein 44",2.24195574812,8.61892779589211,9.47051095173284,3.32281967926153e-08,9.61956297146213e-06,9.19630773862081
"84","TC0100008845.hg.1","ADGRL2","23266","adhesion G protein-coupled receptor L2",-0.292914520016305,3.4736939323555,-1.33937696671511,0.198026927268004,0.474527018678425,-5.9114820095837
"85","TC0100008874.hg.1","PRKACB","5567","protein kinase cAMP-activated catalytic subunit beta",-0.10617380435445,7.5214098254916,-0.258682714156334,0.798976522502653,0.932676222840799,-6.76795370805801
"86","TC0100008912.hg.1","CCN1","3491","cellular communication network factor 1",-0.0643466885704513,4.10906982695143,-0.172771115369478,0.864865346355516,0.959749714697705,-6.78728129114285
"87","TC0100008938.hg.1","LMO4","8543","LIM domain only 4",0.0604568689963596,8.0964175714194,0.342566811002433,0.73611050506537,0.908711552839333,-6.74172343397159
"88","TC0100008975.hg.1","GBP6","163351","guanylate binding protein family member 6",1.03438882978503,3.65330760981988,4.24169396109551,0.000546441961437743,0.0105463298557484,-0.415423675849619
"89","TC0100008996.hg.1","ZNF326","284695","zinc finger protein 326",-0.115928309164385,7.46287215993028,-0.531957188605494,0.601617895112351,0.843654894877592,-6.65613008451082
"90","TC0100009035.hg.1","KIAA1107","23285","KIAA1107",-0.352226056684804,4.00853693800386,-1.14603840604033,0.267607205583736,0.570173218152652,-6.1415376270183
"91","TC0100009064.hg.1","FNBP1L","54874","formin binding protein 1 like",0.126163969323578,5.09033091230825,0.458525604044646,0.652364502829538,0.867883079494688,-6.6936149201532
"92","TC0100009176.hg.1","SNX7","51375","sorting nexin 7",0.129194527586046,4.94721345140457,0.278072632402121,0.784299983869908,0.925573891792462,-6.76253452380853
"93","TC0100009191.hg.1","AGL","178","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",-0.248367582875684,5.53231885818473,-1.15171766353425,0.265328889131215,0.566361020486539,-6.13520988914266
"94","TC0100009211.hg.1","RTCA","8634","RNA 3'-terminal phosphate cyclase",-0.31680459454879,7.14051102073109,-1.80325328617496,0.0890460984679051,0.291080824349567,-5.24828783771664
"95","TC0100009221.hg.1","VCAM1","7412","vascular cell adhesion molecule 1",0.50437696123794,5.21340194778398,1.05066055015303,0.308076470383666,0.615355847700363,-6.24376062142517
"96","TC0100009241.hg.1","S1PR1","1901","sphingosine-1-phosphate receptor 1",-0.0476814081755439,7.11927668549914,-0.141009716655732,0.889514580346713,0.966936199535736,-6.7924851097035
"97","TC0100009273.hg.1","AMY2A","279","amylase alpha 2A (pancreatic)",-0.0358799387540545,4.15084734095798,-0.169907784209509,0.867082038915126,0.959832297459437,-6.78779349097853
"98","TC0100009333.hg.1","GPSM2","29899","G protein signaling modulator 2",-0.46891933003233,4.4441338622071,-2.15422953772696,0.0458128053447605,0.191772965286352,-4.65987905732771
"99","TC0100009352.hg.1","SYPL2","284612","synaptophysin like 2",-0.213566321749311,4.68666537628151,-0.835582789092213,0.414944129783194,0.717975797219183,-6.44513761892654
"100","TC0100009354.hg.1","CYB561D1","284613","cytochrome b561 family member D1",-0.370971629202716,4.68696026875718,-1.29781531282951,0.211631703618771,0.492354621377272,-5.96342924200243
"101","TC0100009364.hg.1","CSF1","1435","colony stimulating factor 1",1.08812862879539,8.86228861455898,3.57225048121517,0.00233638577785903,0.0273286336440481,-1.84149381430973
"102","TC0100009366.hg.1","STRIP1","85369","striatin interacting protein 1",-0.0467993484219846,8.5251748677439,-0.25690448035543,0.800326473718775,0.933076321738073,-6.76843125700418
"103","TC0100009417.hg.1","C1orf162","128346","chromosome 1 open reading frame 162",-0.179524519607876,10.3186817444964,-1.08375703298109,0.293558133378362,0.601893042518819,-6.20916164085901
"104","TC0100009442.hg.1","WNT2B","7482","Wnt family member 2B",-0.177989417287218,3.59858217935278,-0.619577959116687,0.54372587315203,0.807741579358629,-6.6043920501068
"105","TC0100009524.hg.1","VANGL1","81839","VANGL planar cell polarity protein 1",-0.377557246629364,4.14288734970582,-1.0032969181864,0.329742470931809,0.638798463135149,-6.29163177267572
"106","TC0100009534.hg.1","SLC22A15","55356","solute carrier family 22 member 15",-0.371796251753299,5.86888362525239,-1.15759169588416,0.262987785295574,0.563440990512996,-6.12863705128764
"107","TC0100009555.hg.1","CD2","914","CD2 molecule",0.14974476850168,3.46891319140993,0.439813838076005,0.66559510325001,0.874592387108987,-6.70230091540751
"108","TC0100009558.hg.1","PTGFRN","5738","prostaglandin F2 receptor inhibitor",-0.0748552476039812,5.85366650296552,-0.205295522808892,0.839771858100882,0.94991908351596,-6.78086494969636
"109","TC0100009560.hg.1","CD101","9398","CD101 molecule",-0.241937379872578,4.98457882840559,-0.768814358477226,0.452520533312495,0.746465495122321,-6.499089693988
"110","TC0100009561.hg.1","TTF2","8458","transcription termination factor 2",0.134379336918169,5.46913700264547,0.451275455472516,0.657477070618534,0.872142119479318,-6.69702235510458
"111","TC0100009572.hg.1","TENT5C","54855","terminal nucleotidyltransferase 5C",0.181712849019181,5.90535315180054,0.496543379310926,0.625850880588708,0.854892739276584,-6.67488181534132
"112","TC0100009614.hg.1","HSD3B1","3283","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",0.199927731144497,3.67107738996855,0.642834694851959,0.528880734515846,0.796362987956221,-6.5893941390099
"113","TC0100009621.hg.1","PHGDH","26227","phosphoglycerate dehydrogenase",-0.434893489709351,5.79068025097293,-1.44229546791565,0.167334160805153,0.432046729570495,-5.77722938130037
"114","TC0100009656.hg.1","FCGR1B","2210","Fc fragment of IgG receptor Ib",-0.00668401226500315,9.66494967749539,-0.018532871030919,0.985428868478106,0.998093322087968,-6.80269701210415
"115","TC0100009723.hg.1","FAM72D","728833","family with sequence similarity 72 member D",0.159033721389095,5.56321462493053,0.503832315471274,0.620825780268496,0.852554110347962,-6.6711246421329
"116","TC0100009770.hg.1","NBPF12","149013","NBPF member 12",-0.0633145313879417,8.73494468618868,-0.444924169346712,0.661970201341651,0.873823303680401,-6.6999637760435
"117","TC0100009858.hg.1","PPIAL4C","653598","peptidylprolyl isomerase A like 4C",0.549123350891058,6.5635390091405,1.43515432151692,0.169330547780496,0.435723450874527,-5.78679739644519
"118","TC0100009866.hg.1","FCGR1A","2209","Fc fragment of IgG receptor Ia",-0.0343389305786346,10.2562760341023,-0.0929271152362842,0.927044482301118,0.977913317659411,-6.79836211079767
"119","TC0100009889.hg.1","VPS45","11311","vacuolar protein sorting 45 homolog",-0.207195641305865,7.65925128111847,-1.06641781652006,0.301100810758455,0.606654613063578,-6.22740487293446
"120","TC0100009899.hg.1","C1orf54","79630","chromosome 1 open reading frame 54",0.000672533806736375,6.35253664446293,0.00314889252728235,0.997524095032035,0.999598054610744,-6.80287143170958
"121","TC0100009902.hg.1","PRPF3","9129","pre-mRNA processing factor 3",0.40378853217095,9.3521750990395,2.03473244394454,0.0577303080927367,0.218291254763719,-4.86740768770389
"122","TC0100009903.hg.1","RPRD2","23248","regulation of nuclear pre-mRNA domain containing 2",-0.514242582174923,6.83331901107074,-2.11825237435872,0.0491399511922668,0.198556999202886,-4.72308409664265
"123","TC0100009908.hg.1","ECM1","1893","extracellular matrix protein 1",-0.017313741226693,6.6452539414898,-0.0450209974675439,0.964613572576389,0.992719804808824,-6.80181677581197
"124","TC0100009938.hg.1","MLLT11","10962","MLLT11 transcription factor 7 cofactor",0.545420569261406,5.05405571797951,2.37698372960352,0.029424798509033,0.14547211262109,-4.25581344747371
"125","TC0100009959.hg.1","TUFT1","7286","tuftelin 1",0.131519975833018,5.87639215680896,0.499300679822711,0.623947710071235,0.853803779335291,-6.67346678053455
"126","TC0100010025.hg.1","PRR9","574414","proline rich 9",0.214041235940395,4.72302311465852,0.78872660786332,0.441099696597757,0.737341679769329,-6.48343551732963
"127","TC0100010074.hg.1","AQP10","89872","aquaporin 10",0.190245583649653,3.72608374832674,0.697390014120192,0.494957705177375,0.776933715552701,-6.55215437272361
"128","TC0100010078.hg.1","IL6R","3570","interleukin 6 receptor",0.0684143887730198,10.102731708168,0.436184340230963,0.668174798372997,0.875526355322128,-6.70394479028483
"129","TC0100010100.hg.1","CKS1B","1163","CDC28 protein kinase regulatory subunit 1B",0.051702812823466,5.81752584526729,0.311641883144492,0.759090497524912,0.918043651314724,-6.75223593790385
"130","TC0100010104.hg.1","ZBTB7B","51043","zinc finger and BTB domain containing 7B",-0.426111021132868,7.10047528248887,-1.78330080046346,0.0923448237689882,0.297042516456912,-5.27969961889974
"131","TC0100010129.hg.1","ASH1L-AS1","645676","ASH1L antisense RNA 1",-0.124379749318085,5.41627174611826,-0.603639920506474,0.554028503310409,0.814679816006682,-6.61436526450836
"132","TC0100010148.hg.1","LAMTOR2","28956","late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",-0.178084273793059,8.38723157447758,-1.07255032399313,0.298417192159051,0.605791760503271,-6.22098194879675
"133","TC0100010230.hg.1","CD1C","911","CD1c molecule",0.063752862806977,4.91509246480046,0.222244391555988,0.826763530562372,0.945640796502284,-6.77708595896749
"134","TC0100010241.hg.1","MNDA","4332","myeloid cell nuclear differentiation antigen",0.653299987070337,8.40411490383808,2.36361074868626,0.0302291674482016,0.147391056442179,-4.28065024296436
"135","TC0100010252.hg.1","FCER1A","2205","Fc fragment of IgE receptor Ia",-0.202420276537872,3.14127647609004,-0.520303805830636,0.6095411574478,0.847866258648111,-6.66243868402642
"136","TC0100010256.hg.1","OR10J1","26476","olfactory receptor family 10 subfamily J member 1",0.960076723738914,3.61106612114288,2.97443409036305,0.00848402093254404,0.0645287109352118,-3.08689137943818
"137","TC0100010267.hg.1","DUSP23","54935","dual specificity phosphatase 23",0.0885110472643085,7.80018899630281,0.445038231206742,0.661889392055794,0.873823303680401,-6.69991131051247
"138","TC0100010269.hg.1","SLAMF8","56833","SLAM family member 8",-0.597102985118481,7.5097268208357,-2.50575786052289,0.0226430751612143,0.121673693905736,-4.01322591900158
"139","TC0100010281.hg.1","ATP1A2","477","ATPase Na+/K+ transporting subunit alpha 2",0.0320113351661195,4.1859193198903,0.120518065784613,0.905481353608903,0.970877229147324,-6.79528465920125
"140","TC0100010297.hg.1","NCSTN","23385","nicastrin",0.0150697661649062,8.7885055586633,0.0895324900488055,0.929701874772765,0.979390285182499,-6.79868583904841
"141","TC0100010301.hg.1","VANGL2","57216","VANGL planar cell polarity protein 2",-0.188837416611869,3.77243537953501,-0.889837457354931,0.38593460826129,0.696396223399414,-6.39825953273676
"142","TC0100010310.hg.1","SLAMF7","57823","SLAM family member 7",1.49556568091046,10.2505142810558,4.56373879455993,0.000273521234774905,0.00643122009886984,0.269031670612451
"143","TC0100010314.hg.1","LY9","4063","lymphocyte antigen 9",-0.540567494624798,5.62980379795901,-2.15935871696494,0.0453556520015903,0.191093691712919,-4.65081881990776
"144","TC0100010335.hg.1","USP21","27005","ubiquitin specific peptidase 21",-0.618017033206312,5.87808387816267,-3.23565516554364,0.0048443560433247,0.0435709848401554,-2.54884338165584
"145","TC0100010340.hg.1","NDUFS2","4720","NADH:ubiquinone oxidoreductase core subunit S2",-0.277529945465909,7.86173506523961,-1.36074295516387,0.191309143407624,0.464923374745075,-5.88426262122408
"146","TC0100010360.hg.1","HSPA6","3310","heat shock protein family A (Hsp70) member 6",0.118478911729717,9.06905266099708,0.264107866221536,0.794862065837548,0.931158596094973,-6.76647657914609
"147","TC0100010393.hg.1","RGS4","5999","regulator of G protein signaling 4",-0.128131495734324,4.45750552692275,-0.272709739569431,0.788351148861223,0.926812822722129,-6.76407220055338
"148","TC0100010397.hg.1","NUF2","83540","NUF2 component of NDC80 kinetochore complex",-0.246985651456127,3.09208532122123,-0.815001249125947,0.426307979813658,0.726655471533272,-6.46221147124751
"149","TC0100010454.hg.1","MGST3","4259","microsomal glutathione S-transferase 3",-0.0623541963941214,9.62341596371634,-0.334890830730491,0.741791471449803,0.910710314929975,-6.7444243099093
"150","TC0100010510.hg.1","RCSD1","92241","RCSD domain containing 1",1.01572512244591,6.80528895889305,5.4560264755756,4.22332716769173e-05,0.00171600451234632,2.12550384019181
"151","TC0100010514.hg.1","MPZL1","9019","myelin protein zero like 1",0.349938408800515,8.82473851966789,1.23056795436584,0.235189150557856,0.525010190546501,-6.04462512643691
"152","TC0100010518.hg.1","DCAF6","55827","DDB1 and CUL4 associated factor 6",0.0054060940070908,8.20782335653866,0.0245333254648449,0.980712000104957,0.997572835948185,-6.80256188419339
"153","TC0100010522.hg.1","TIPRL","261726","TOR signaling pathway regulator",0.466410825198066,7.74217275479111,2.75782023442262,0.0134179731192666,0.0866834748792786,-3.52244983926052
"154","TC0100010543.hg.1","ATP1B1","481","ATPase Na+/K+ transporting subunit beta 1",0.207967160374357,8.78609390675564,0.679980970660683,0.505643533927504,0.782713997660591,-6.5643499044131
"155","TC0100010546.hg.1","BLZF1","8548","basic leucine zipper nuclear factor 1",1.16665431413677,9.06856625506817,5.39116101916452,4.82337169703305e-05,0.00187746703366866,1.99323798058578
